greeter	screener	dispenser	medic	resources	throughput	time
4	6	15	1	26	1161.66666667	54.833619576
4	6	16	1	27	1218.0	56.1919116799
5	6	16	1	28	1219.33333333	61.5382187802
4	6	16	3	29	1228.66666667	44.1616807965
9	6	16	3	34	1236.33333333	53.3101395702
12	6	16	1	35	1241.0	60.055385387
4	6	25	1	36	1596.0	53.3176857019
5	6	25	1	37	1718.0	40.9977964509
6	6	25	1	38	1866.0	50.3435935322
9	6	25	1	41	1883.66666667	54.2975804876
4	11	26	1	42	1981.0	38.5797236238
15	1	26	3	45	1983.0	36.4879995674
5	14	26	1	46	1997.66666667	55.7294053931
9	6	32	1	48	2202.0	45.8623578992
4	12	32	1	49	2370.0	43.5050826259
5	12	32	1	50	2444.33333333	48.6055480858
12	6	32	3	53	2477.33333333	38.8374999385
5	12	38	1	56	2803.0	41.353367182
6	12	38	1	57	2854.0	42.860011782
5	14	38	1	58	2907.66666667	37.2257737652
19	6	38	1	64	2920.66666667	38.2676211849
5	14	47	1	67	3063.0	40.5661392365
9	12	46	1	68	3272.66666667	47.3540078241
9	12	46	3	70	3327.0	36.9988895082
12	12	46	1	71	3434.0	47.7143163974
12	12	47	1	72	3566.33333333	42.0836709179
12	12	50	1	75	3669.0	41.6554544389
15	11	50	1	77	3736.33333333	50.0224117429
15	11	50	3	79	3745.33333333	35.0675832814
9	24	50	1	84	3813.66666667	45.7981807378
15	11	60	1	87	3886.0	44.4215841407
15	11	60	3	89	3922.66666667	33.2912556803
9	21	60	1	91	4516.0	41.740379059
9	27	60	1	97	4520.66666667	43.2479079557
15	21	60	3	99	4575.0	36.9155079313
15	27	60	1	103	4605.33333333	40.0271098691
19	39	60	1	119	4641.33333333	41.8636748913
40	39	60	3	142	4656.66666667	41.3189463055
