greeter	screener	dispenser	medic	resources	throughput	time
7	24	58	6	95	4293.0	23.6516087793
8	24	58	5	95	4381.0	25.7884058714
7	26	57	6	96	4265.0	22.8536670404
8	24	57	7	96	4350.33333333	23.3068229543
8	24	58	6	96	4372.0	23.8753712506
8	24	60	4	96	4520.33333333	26.384787447
7	24	60	7	98	4302.33333333	20.7154108637
8	24	60	6	98	4475.66666667	22.6576311812
8	26	60	4	98	4601.66666667	29.4393664844
8	26	58	7	99	4397.33333333	21.0138236099
8	24	60	7	99	4465.0	22.2956296096
8	26	60	6	100	4560.66666667	23.6097621482
9	26	60	6	101	4609.66666667	26.6192631247
7	24	57	14	102	4194.66666667	20.045840556
8	24	57	14	103	4331.33333333	20.4538699725
8	24	58	14	104	4391.33333333	20.3652678529
8	29	60	7	104	4479.66666667	23.2919430334
7	26	58	14	105	4277.33333333	19.2469077022
8	26	58	14	106	4436.33333333	20.1872547204
9	24	60	14	107	4524.66666667	21.889273277
16	29	60	2	107	4617.66666667	40.3694620758
8	26	60	14	108	4569.66666667	19.0404108088
18	24	60	7	109	4577.0	25.1003325619
16	26	60	14	116	4575.0	24.5257398639
22	42	60	1	125	4630.66666667	37.9051053349
18	26	60	23	127	4641.0	23.4335689489
22	26	60	23	131	4632.66666667	22.5754079941
8	58	60	7	133	4569.66666667	22.0391137742
15	42	60	23	140	4593.66666667	22.0142142867
16	58	60	6	140	4652.0	32.0396144185
16	42	60	23	141	4588.66666667	21.4630007928
19	42	60	28	149	4633.0	21.5797263351
13	58	60	23	154	4630.33333333	21.2535540127
16	58	60	23	157	4623.33333333	20.0054262376
21	58	60	23	162	4514.0	18.4391279933
22	58	60	23	163	4543.0	17.5932693607
46	39	60	23	168	4652.66666667	22.4053115164
