greeter	screener	dispenser	medic	resources	throughput	time
4	1	12	1	18	906.666666667	58.9560998679
6	1	12	1	20	917.666666667	63.7360823839
4	1	15	1	21	1176.0	53.5833439445
4	1	21	1	27	1447.66666667	49.2206359527
4	6	21	1	32	1577.0	46.0437694909
5	1	27	1	34	1719.33333333	49.2299378635
6	1	27	1	35	1981.66666667	48.1997210314
5	3	27	1	36	2020.66666667	43.3899177144
9	1	27	1	38	2047.66666667	60.7667533171
5	6	27	1	39	2074.33333333	45.7859668991
9	1	27	3	40	2091.0	52.6376084731
13	1	27	1	42	2113.33333333	52.8871284913
9	1	32	1	43	2446.66666667	50.1936424965
12	1	32	1	46	2476.66666667	49.3794203041
12	1	32	3	48	2491.33333333	49.3107934349
9	1	38	1	49	2818.66666667	45.7458350834
11	1	38	1	51	2913.33333333	45.9543957919
9	1	46	1	57	2959.66666667	46.000584163
12	1	46	1	60	3449.33333333	44.7295205317
13	1	46	1	61	3488.0	41.6648543754
15	1	46	1	63	3526.33333333	42.4314390439
12	6	46	1	65	3531.33333333	52.2944571782
12	6	46	3	67	3548.66666667	39.7369740461
12	1	55	1	69	3935.33333333	39.656843419
13	1	55	1	70	4098.66666667	38.7840129709
12	4	55	1	72	4135.0	41.2928974446
12	6	55	1	74	4199.66666667	40.7080076907
15	1	59	1	76	4425.33333333	36.6845213224
15	1	60	1	77	4517.33333333	37.3106541525
15	4	60	1	80	4524.66666667	37.8817869662
15	4	60	3	82	4545.0	35.9279409546
12	6	60	6	84	4562.0	33.1730017977
11	31	59	5	106	4565.0	24.4544276346
11	39	60	1	111	4646.66666667	41.8101232617
