greeter	screener	dispenser	medic	resources	throughput	time
4	1	12	1	18	926.0	60.3989292502
5	1	12	1	19	932.666666667	63.4491946832
4	1	15	1	21	1183.33333333	60.8928305731
5	4	16	1	26	1188.66666667	58.2846117345
4	6	16	1	27	1224.0	42.1155027819
4	4	19	1	28	1424.66666667	52.1455008748
5	4	19	1	29	1472.66666667	49.3758996246
4	1	27	1	33	1657.66666667	50.4391877982
5	1	27	1	34	2004.66666667	49.5795156681
6	1	27	1	35	2058.66666667	50.7490692919
6	5	27	1	39	2079.0	55.4976933395
11	1	27	1	40	2081.0	53.9802405249
6	6	27	3	42	2086.66666667	41.8784014427
12	5	27	1	45	2101.0	55.9416310141
6	1	38	1	46	2444.66666667	46.4213374254
5	4	38	1	48	2596.66666667	35.094048748
6	4	38	1	49	2857.66666667	42.282496874
6	5	38	1	50	2918.66666667	50.0816393686
11	1	38	1	51	2986.66666667	49.2858368525
6	4	46	1	57	2989.0	41.294198638
11	1	46	1	59	3496.0	46.0213876893
12	1	46	1	60	3501.0	52.3814820765
13	1	46	1	61	3552.66666667	45.8799729995
11	4	46	1	62	3570.0	50.9072378576
12	1	50	1	64	3855.0	44.0834306468
11	1	59	1	72	4286.66666667	42.4789872671
12	1	59	1	73	4434.0	40.604046044
12	1	60	1	74	4544.0	40.3341641418
13	1	60	1	75	4563.66666667	41.4942875873
12	5	59	1	77	4574.33333333	46.4086890823
12	5	60	1	78	4584.0	43.5910897727
12	5	59	3	79	4610.66666667	35.865557674
55	28	60	1	144	4646.33333333	28.2872068963
55	28	60	6	149	4722.66666667	24.0464894013
