greeter	screener	dispenser	medic	resources	throughput	time
4	5	12	1	22	919.666666667	58.291313337
5	5	12	1	23	921.666666667	61.5171817708
11	1	12	1	25	937.666666667	61.8483733423
4	6	15	1	26	1161.33333333	61.5601686745
5	6	15	5	31	1165.33333333	48.489194669
11	6	15	1	33	1168.33333333	63.7979588588
4	5	25	1	35	1666.0	47.1217756956
4	6	25	1	36	1843.66666667	48.5600902081
5	6	25	1	37	1874.0	43.234949835
11	1	25	1	38	1899.66666667	51.0592851348
12	1	25	1	39	1901.0	45.074674873
11	1	27	1	40	2005.33333333	46.3948906116
12	1	27	1	41	2038.0	44.6189665857
11	1	27	3	42	2056.0	44.1576677167
9	6	27	1	43	2087.33333333	59.0041569942
9	6	27	3	45	2098.66666667	45.1712687946
11	1	33	1	46	2232.66666667	40.6298396294
12	1	33	1	47	2370.33333333	40.1563903877
9	5	33	1	48	2478.66666667	52.5915690417
9	5	33	3	50	2499.66666667	39.9296567612
12	6	33	1	52	2526.33333333	49.2878438216
9	5	38	1	53	2585.66666667	50.94498511
9	6	38	1	54	2766.0	44.9053995344
15	1	38	1	55	2865.0	37.3702787248
11	6	38	1	56	2867.33333333	43.9921450394
12	6	38	1	57	2891.66666667	50.1759579135
14	6	38	1	59	2914.33333333	48.1934307819
11	6	38	5	60	2917.0	36.9161362114
15	1	46	1	63	2949.33333333	34.7036205453
11	6	46	1	64	3175.66666667	47.6980146153
12	6	46	1	65	3354.33333333	46.9382515497
14	5	46	1	66	3469.0	40.7511480132
15	5	46	1	67	3493.0	42.6038843057
15	5	46	3	69	3531.66666667	33.6787503801
14	6	50	1	71	3682.33333333	42.6936070024
15	6	50	1	72	3808.66666667	48.2513141953
15	6	59	1	81	3899.0	46.6340131372
11	11	59	1	82	4067.0	43.238339129
12	11	59	1	83	4214.0	38.9596455531
12	11	60	1	84	4245.0	43.8958679144
14	11	59	1	85	4438.33333333	43.4665901202
14	11	60	1	86	4507.0	41.1687415079
15	21	60	1	97	4561.66666667	59.9548134442
12	39	60	3	114	4572.33333333	36.5949772435
12	39	60	5	116	4627.33333333	35.5912478429
46	39	60	1	146	4639.0	40.1618104018
