greeter	screener	dispenser	medic	resources	throughput	time
4	1	15	1	21	1135.0	49.0710948577
5	1	15	1	22	1153.33333333	49.097232729
4	3	15	1	23	1162.66666667	43.7073581431
4	6	15	1	26	1179.66666667	43.5438320195
9	4	15	1	29	1184.33333333	50.348656951
4	1	27	1	33	2044.0	40.9661137216
5	1	27	1	34	2085.66666667	46.574384403
5	1	27	3	36	2095.33333333	41.8374287683
4	3	27	3	37	2095.66666667	28.2512326261
9	3	27	1	40	2125.0	37.5694524748
5	1	38	1	45	2841.33333333	33.7476488589
5	1	38	3	47	2880.33333333	33.1887965845
5	4	38	1	48	2893.66666667	24.0124343202
5	4	38	3	50	2905.33333333	23.9813668073
12	1	38	1	52	2959.0	49.048597016
5	1	46	1	53	2983.0	33.2248232111
5	3	46	1	55	3052.0	24.2779511055
5	4	46	1	56	3069.66666667	24.4182160224
9	1	46	1	57	3450.33333333	46.1616614579
9	3	46	1	59	3492.0	27.3143105456
9	4	46	1	60	3552.0	27.9234099318
9	1	50	1	61	3762.33333333	42.2779884345
9	1	50	3	63	3763.0	42.3100631148
9	4	50	1	64	3843.0	28.2320682525
9	4	50	3	66	3860.66666667	24.5200828399
9	5	50	3	67	3885.66666667	24.6196084731
9	1	59	1	70	4464.33333333	38.5510880436
9	1	60	1	71	4569.66666667	41.7962586787
13	1	60	1	75	4601.66666667	43.859483396
15	1	60	1	77	4639.0	43.1825399243
