greeter	screener	dispenser	medic	resources	throughput	time
1	6	12	1	20	622.0	28.9118819917
2	5	12	1	20	872.333333333	56.5065934333
1	5	12	3	21	616.0	28.4098122873
2	6	12	1	21	929.0	49.8663236267
1	6	12	3	22	624.333333333	28.6482729982
2	5	12	3	22	894.333333333	38.0005979674
2	6	12	3	23	905.333333333	38.2601323044
2	5	15	1	23	1053.66666667	43.2326127872
2	6	15	1	24	1122.33333333	34.9468206892
2	6	16	1	25	1162.33333333	32.6078711221
1	5	15	5	26	617.666666667	28.5116752868
2	6	15	3	26	1119.0	31.598227354
1	6	15	5	27	624.666666667	28.6857768743
2	6	15	5	28	1096.66666667	29.4508407965
2	6	19	1	28	1222.33333333	36.4801900768
2	6	15	6	29	1094.33333333	29.2137386618
2	9	15	3	29	1134.33333333	30.4349122011
2	10	16	1	29	1195.66666667	33.9268351888
2	9	16	3	30	1163.66666667	28.1611929058
2	6	16	6	30	1178.66666667	28.4253797859
2	6	21	1	30	1215.0	33.7045554332
2	6	20	3	31	1204.0	27.618957225
2	6	19	5	32	1230.66666667	27.2234273771
2	6	20	5	33	1204.0	27.1896335235
2	6	21	5	34	1205.33333333	26.9725787366
2	6	21	6	35	1203.33333333	26.9116698028
2	6	20	7	35	1206.66666667	27.1088557701
2	9	21	3	35	1243.0	27.7179884046
2	9	20	5	36	1239.33333333	26.7461023784
2	9	21	5	37	1242.33333333	26.8138549701
2	10	21	5	38	1214.0	26.6513981149
2	10	19	7	38	1214.66666667	26.6543649173
2	9	21	6	38	1242.66666667	26.7485836105
2	9	24	5	40	1235.33333333	26.7135093747
2	9	26	6	43	1236.0	26.716574085
2	9	26	7	44	1235.0	26.6296483154
2	9	27	7	45	1232.33333333	26.6154327518
2	9	31	6	48	1236.66666667	26.7195230687
2	9	31	7	49	1237.33333333	26.6483062933
