greeter	screener	dispenser	medic	resources	throughput	time
5	1	12	1	19	937.0	61.4882176382
4	1	15	1	21	1177.66666667	57.7084877938
4	1	15	3	23	1179.33333333	54.5510941927
13	1	15	3	32	1183.66666667	61.1210578183
4	1	27	1	33	2065.0	42.2657384194
5	1	32	1	39	2399.33333333	45.7483608462
5	4	32	1	42	2423.0	35.530196015
5	5	32	1	43	2423.66666667	34.7909126088
5	6	32	1	44	2426.66666667	32.0478433351
5	1	38	1	45	2648.66666667	42.9163378531
5	1	38	3	47	2649.66666667	42.2689659196
5	4	38	1	48	2869.33333333	29.8197370153
5	4	38	3	50	2873.0	24.2510177373
11	1	38	1	51	2968.0	51.445189216
9	1	46	1	57	3470.33333333	47.1421881159
11	1	46	1	59	3547.0	48.8487512486
9	1	50	1	61	3834.66666667	45.7041184079
11	1	50	1	63	3839.66666667	47.5636505958
11	4	50	3	68	3876.0	37.442327931
15	4	50	1	70	3879.0	45.6049736583
9	1	60	1	71	4487.0	41.0478523663
11	1	60	1	73	4508.33333333	44.6559974124
12	1	60	1	74	4574.66666667	45.8404978437
11	4	60	1	76	4608.0	43.237202625
12	4	60	1	77	4674.33333333	37.60613519
19	39	60	6	124	4687.0	17.3759780414
19	39	60	7	125	4700.66666667	17.2183055859
