greeter	screener	dispenser	medic	resources	throughput	time
5	1	15	1	22	1133.0	60.5942763447
5	3	15	1	24	1145.66666667	59.0785844795
9	1	15	1	26	1189.0	62.5007074203
11	1	15	1	28	1196.33333333	60.8484061274
11	6	15	1	33	1204.0	60.6021530536
5	1	27	1	34	2042.66666667	57.4980472591
5	3	27	1	36	2100.66666667	40.9875439626
11	1	27	1	40	2115.0	56.4557892308
5	1	35	1	42	2333.0	48.0736768624
5	3	35	1	44	2634.33333333	38.5937418936
9	1	35	1	46	2674.33333333	56.6182725236
5	3	38	1	47	2705.66666667	35.7548808902
9	3	35	1	48	2727.66666667	48.501176105
9	1	38	1	49	2907.66666667	53.9198565477
9	1	38	3	51	2921.66666667	50.0417989944
11	5	38	1	55	2926.0	51.4518783155
9	1	46	1	57	3461.0	47.1924232116
11	1	46	1	59	3513.66666667	51.5393942351
9	3	46	3	61	3540.66666667	41.6920575652
9	4	46	3	62	3551.33333333	39.7620746736
9	3	50	1	63	3756.0	43.0544603366
11	3	50	1	65	3816.66666667	47.3824416778
9	1	55	1	66	4038.66666667	44.8836339033
11	1	55	1	68	4141.66666667	43.5090764757
9	5	55	1	70	4166.33333333	37.8813203561
11	1	59	1	72	4461.0	42.5889138458
11	3	60	1	75	4538.0	44.3860351565
9	6	60	1	76	4546.33333333	40.8009540024
11	3	60	3	77	4604.33333333	38.3850553746
19	6	60	1	86	4632.66666667	43.5405828511
19	40	60	5	124	4659.33333333	23.4052616777
