greeter	screener	dispenser	medic	resources	throughput	time
4	1	12	1	18	910.0	55.269864284
4	5	12	1	22	917.0	55.0135081642
9	1	12	1	23	926.666666667	62.6667915916
4	5	12	3	24	927.333333333	49.9127575891
4	5	15	1	25	1108.0	60.1523133393
9	1	15	1	26	1178.33333333	59.2845152421
11	4	15	1	31	1179.66666667	66.5198780848
5	1	25	1	32	1453.33333333	48.826736567
4	5	25	1	35	1878.33333333	51.7111596254
9	1	25	1	36	1911.33333333	50.3282955145
9	1	27	1	38	2029.0	51.2266846402
5	6	27	1	39	2050.33333333	50.8636688997
11	1	27	1	40	2067.0	49.2040673406
9	1	33	1	44	2367.66666667	45.0931620885
11	1	33	1	46	2540.33333333	45.1454587121
11	1	38	1	51	2828.0	41.8497318663
12	1	38	1	52	2873.33333333	45.2819395707
9	6	38	3	56	2926.66666667	38.7884524324
19	1	38	1	59	2936.66666667	40.0710917283
12	1	46	1	60	3158.0	40.0045912595
11	4	46	1	62	3450.66666667	42.873866894
11	4	47	1	63	3451.33333333	40.2443743352
15	1	47	1	64	3557.0	38.0029823608
19	1	47	1	68	3580.0	36.0909375612
9	12	47	1	69	3602.66666667	44.2015226306
9	12	47	3	71	3633.66666667	38.950433904
15	1	55	1	72	3865.66666667	35.5902265215
12	5	55	1	73	3878.33333333	37.5308233462
12	6	55	1	74	4014.33333333	41.8543137683
19	1	55	1	76	4062.66666667	33.5791334597
9	12	55	1	77	4145.0	38.5038778445
9	12	55	3	79	4209.66666667	32.6484407372
19	1	59	1	80	4463.33333333	30.264314527
19	1	60	1	81	4568.0	29.9778490296
9	39	60	1	109	4625.33333333	43.5782038846
